  uniq   occur  word             strings
     2       3  gun              {' gun 1986 '}
     2       3  abc              {'[118abc10]', '[916abc61]'}
     2       2  shemale          {' shemale ', '.shemale.'}
     2       2  crc              {'(crc 1999)', '[crc32_'}
     1     286  kuni             {' kuni 2017 '}
     1     277  milk             {'milk 2008 '}
     1      71  god              {' god 1978 '}
     1      66  vixen            {'_vixen_'}
     1      52  rgb              {'-rgb-94.', '-rgb-67.', '-rgb-97.', '_rgb-67.'}
     1      45  eva              {'/eva 01.', '/eva 21 ', '/eva 24.', '/eva 11.', '/eva 09.', '/eva 18.', '/eva 14.', '/eva 12.', '/eva 13.', '/eva 22.', '/eva 20.', '/eva 21.', '/eva 23 ', '/eva 10.', '/eva 25.', '/eva 26.', '/eva 05.', '/eva 22 ', '/eva 02.', '/eva 24 ', '/eva 19.', '/eva 06.', '/eva 07.', '/eva 04.', '/eva 17.', '/eva 03.', '/eva 23.', '/eva 08.', '.eva01.', '/eva 16.', '/eva 15.'}
     1      40  shm              {'/shm10205.', '/shm10216.', '/shm10229.', '/shm10211.', '/shm10206.', '/shm10209.', '/shm10222.', '/shm10217.', '/shm10201.', '/shm10228.', '/shm10230.', '/shm10212.', '/shm10218.', '/shm10240.', '/shm10237.', '/shm10204.', '/shm10215.', '/shm10225.', '/shm10231.', '/shm10238.', '/shm10236.', '/shm10220.', '/shm10213.', '/shm10207.', '/shm10221.', '/shm10235.', '/shm10226.', '/shm10214.', '/shm10210.', '/shm10202.', '/shm10239.', '/shm10232.', '/shm10233.', '/shm10208.', '/shm10224.', '/shm10234.', '/shm10203.', '/shm10223.', '/shm10219.', '/shm10227.'}
     1      40  much             {' much 2020 '}
     1      39  csv              {'/csv12138.', '/csv12106.', '/csv12118.', '/csv12130.', '/csv12116.', '/csv12104.', '/csv12125.', '/csv12109.', '/csv12133.', '/csv12119.', '/csv12117.', '/csv12127.', '/csv12114.', '/csv12101.', '/csv12103.', '/csv12121.', '/csv12111.', '/csv12128.', '/csv12108.', '/csv12131.', '/csv12122.', '/csv12102.', '/csv12129.', '/csv12115.', '/csv12135.', '/csv12112.', '/csv12110.', '/csv12136.', '/csv12123.', '/csv12107.', '/csv12105.', '/csv12113.', '/csv12124.', '/csv12120.', '/csv12134.', '/csv12132.', '/csv12137.', '/csv12139.', '/csv12126.'}
     1      36  sab              {'/sab81533.', '/sab81534.', '/sab81521.', '/sab81505.', '/sab81512.', '/sab81506.', '/sab81523.', '/sab81520.', '/sab81504.', '/sab81514.', '/sab81535.', '/sab81524.', '/sab81532.', '/sab81528.', '/sab81522.', '/sab81509.', '/sab81515.', '/sab81502.', '/sab81536.', '/sab81527.', '/sab81510.', '/sab81511.', '/sab81507.', '/sab81519.', '/sab81503.', '/sab81508.', '/sab81526.', '/sab81531.', '/sab81518.', '/sab81516.', '/sab81529.', '/sab81517.', '/sab81525.', '/sab81530.', '/sab81513.', '/sab81501.'}
     1      34  cmd              {'/cmd00060.', '/cmd00021.', '/cmd00013.', '/cmd00040.', '/cmd00020.', '/cmd00005.', '/cmd00023.', '/cmd00012.', '/cmd00017.', '/cmd00018.', '/cmd00048.', '/cmd00000.', '/cmd00003.', '/cmd00057.', '/cmd00022.', '/cmd00009.', '/cmd00002.', '/cmd00014.', '/cmd00039.', '/cmd00010.', '/cmd00019.', '/cmd00049.', '/cmd00008.', '/cmd00024.', '/cmd00052.', '/cmd00006.', '/cmd00056.', '/cmd00016.', '/cmd00001.', '/cmd00007.', '/cmd00015.', '/cmd00032.', '/cmd00004.', '/cmd00011.'}
     1      31  vsv              {'/vsv14319.', '/vsv14318.', '/vsv14325.', '/vsv14326.', '/vsv14317.', '/vsv14321.', '/vsv14311.', '/vsv14320.', '/vsv14313.', '/vsv14306.', '/vsv14308.', '/vsv14307.', '/vsv14315.', '/vsv14301.', '/vsv14316.', '/vsv14302.', '/vsv14310.', '/vsv14331.', '/vsv14303.', '/vsv14322.', '/vsv14314.', '/vsv14304.', '/vsv14330.', '/vsv14328.', '/vsv14323.', '/vsv14305.', '/vsv14324.', '/vsv14312.', '/vsv14327.', '/vsv14309.', '/vsv14329.'}
     1      26  fts              {'/fts01.', '/fts12.', '/fts05.', '/fts11.', '/fts08.', '/fts06.', '/fts04.', '/fts13.', '/fts09.', '/fts02.', '/fts07.', '/fts10.', '/fts03.'}
     1      21  acc              {'/acc64/'}
     1      20  vip              {' vip021\u3000', ' vip052 ', ' vip297 ', ' vip387 ', ' vip405 ', ' vip073 ', ' vip068 ', ' vip271 ', ' vip024 ', ' vip021 ', ' vip494 ', ' vip063 '}
     1      13  ext              {'_ext03.', '_ext04.', '_ext01.', '_ext02.'}
     1      13  ban              {'-ban 12 ', '-ban 06 ', '-ban 04 ', '-ban 05 ', '-ban 01 ', '-ban 09 ', '-ban 11 ', '-ban 13 ', '-ban 02 ', '-ban 07 ', '-ban 03 ', '-ban 10 ', '-ban 08 '}
     1      13  atom             {' atom 000 ', ' atom 008 ', ' atom 002 ', ' atom 007 ', ' atom 011 ', ' atom 05 ', ' atom 001 ', ' atom 04 ', ' atom 03 ', ' atom 012 ', ' atom 010 ', ' atom 009 '}
     1      10  std              {'_std_15_', '_std_11_', '_std_18_', '_std_19_', '_std_13_', '_std_16_', '_std_10_', '_std_14_', '_std_12_', '_std_17_'}
     1      10  blk              {'.blk946.'}
     1       8  with             {' with 52 ', ' with 2009 ', ' with 14 ', ' with 25 ', ' with 2014-'}
     1       7  hit              {'_hit_03.', '_hit_01.', '_hit_02.', '_hit_04.'}
     1       7  goal             {'/goal92.'}
     1       6  stars            {'/stars_03.', '/stars_02.'}
     1       6  bell             {'/bell 04.', '/bell 06.', '/bell 03.', '/bell 01.', '/bell 05.', '/bell 02.'}
     1       5  bib              {'/bib04.', '/bib05.', '/bib02.', '/bib01.', '/bib03.'}
     1       4  real             {'real 2017 '}
     1       4  jac              {'/949jac01.', '/974jac01.', '/636jac02.', '-jac01.'}
     1       4  emh              {'/emh01.', '/emh03.', '/emh04.', '/emh02.'}
     1       4  chs              {'/chs 02.', '/chs 01.', '/chs 04.', '/chs 03.'}
     1       4  avd              {'/avd00002.', '/avd00000.', '/avd00001.', '/avd00003.'}
     1       4  aka              {'_aka_91/'}
     1       3  zoku             {'/zoku110_', '/zoku066_', '/zoku105_'}
     1       3  ram              {' ram 3500.', ' ram 3500 '}
     1       3  jump             {'_jump_02.', '_jump_03.', '_jump_01.'}
     1       3  icd              {'[icd-10]', '[icd-10 '}
     1       3  core             {'/core64/'}
     1       3  aaa              {'/905aaa02.', '/887aaa02.', '/845aaa02.'}
     1       2  psd              {'/psd4492.', '/psd4716.'}
     1       2  post             {'-post02.', '-post01.'}
     1       2  deep             {'-deep-1080.'}
     1       2  bkc              {' bkc 2020 ', '-bkc-626226-'}
     1       1  vic              {' vic 2019 '}
     1       1  tts              {' tts 2015 '}
     1       1  trd              {'-trd2011-'}
     1       1  ten              {' ten 2015 '}
     1       1  suke             {'[suke01]'}
     1       1  slk              {' slk55 '}
     1       1  rbb              {'/rbb040-'}
     1       1  paco             {')paco_'}
     1       1  nmk              {'/nmk004.'}
     1       1  nine             {' nine 2016 '}
     1       1  mom              {' mom 100 '}
     1       1  mann             {' mann 1924 '}
